listing_id,title,description,address,detail_url,department_slug,department,city,neighborhood,locality,zone,latitude,longitude,price_cop,admin_fee_cop,bedrooms,bathrooms,area_m2,area_built_m2,stratum,floor,floors_count,antiquity,construction_year,garages,amenities,is_new_project,owner_type,owner_name,image_count,main_image_url,listing_created_at,listing_updated_at,source_page,scraped_at
193916495,"Apartamento en Venta en La Samaria, Ibagué","VENDO APARTAMENTO SECTOR SAMARIA PARA ESTRENAR EN PISO 3, CON BUENA ILUMINACION, CONSTA DE SALA COMEDOR CON BALCON AMPLIO, COCINA INTEGRAL, ZONA DE LAVANDERIA, 3 HABITACIONES CON CLOSET, LA PRINCIPAL CON BAÑO PRIVADO, AREA DE ESTUDIO, BAÑO SOCIAL, PARQUEADERO PRIVADO CUBIERTO, CONJUNTO CERRADO CON VIGILANCIA PRIVADA, LAS ZONAS SOCIALES EN EJECUCION.",CALLE 93 N 4D SUR-70,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-samaria-ibague/193916495,tolima,Tolima,Ibagué,La Samaria,,Bolivar,4.4320062761945,-75.176900625229,380000000,300000,3,2,92,92,4,3,0,2,,1,,False,inmobiliaria,BOLSA INMOBILIARIA DEL TOLIMA SAS,30,https://cdn2.infocasas.com.uy/repo/img/6a3d592f68b9c_infocdn__gr626683720260625093004jpg.jpg,2026-06-25,2026-06-27,8,2026-07-03T17:37:12.373798+00:00
193920986,"Apartamento en Venta en Santa helena, Ibagué","APARTAMENTO EN PISO 2 SIN ASCENSOR, CONSTA DE SALA COMEDOR, COCINA , ZONA DE LAVANDERIA, 3 HABITACIONES CON CLOSET Y 2 BAÑOS 

CERCA A LA UNIVERSIDAD TOLIMA",CALLE 41 N 1-20,https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-helena-ibague/193920986,tolima,Tolima,Ibagué,Santa helena,,Estadio,4.4290833823722,-75.213375985622,240000000,395000,3,2,72,72,3,2,0,5,,0,,False,inmobiliaria,BOLSA INMOBILIARIA DEL TOLIMA SAS,12,https://cdn2.infocasas.com.uy/repo/img/6a3ea38920cdb_infocdn__gr626681220250912110005jpg.jpg,2026-06-26,2026-06-27,8,2026-07-03T17:37:12.373822+00:00
193323330,"Apartamento en Venta en Prados del norte, Ibagué","VENDO APARTAMENTO UBICADO EN PISO 4 SIN ASCENSOR SECTOR DE ALTA VALORIZACION.

CONSTA DE SALA COMEDOR CON BALCON AMPLIO, COCINA INTEGRAL, ZONA DE LAVANDERIA, 3 HABITACIONES CON CLOSET, LA HABITACION PRINCIPAL CON BAÑO PRIVADO Y  UN ALTILLO, 2 HABITACIONES AUXILIARES, 1 BAÑO SOCIAL, ESTUDIO, PARQUEADERO PRIVADO.

ZONAS COMUNES: PISCINA, BBQ, SALON SOCIAL, GIMNASIO, CANCHA DE FUTBOL, PARQUE INFANTIL, VIGILANCIA 24 HORAS.",Carrera 8ª #60-55,https://www.fincaraiz.com.co/apartamento-en-venta-en-prados-del-norte-ibague/193323330,tolima,Tolima,Ibagué,Prados del norte,,Piedrapintada,4.4401036746365,-75.203229188919,412000000,430000,3,2,110,110,4,5,0,5,,1,Balcón; Garaje(s); Parques cercanos; Piscina; Planta Eléctrica; Portería / Recepción; Salón Comunal; Salón de Juegos; Sobre vía principal; Trans. Público cercano; Vigilancia; Vista panorámica; Vivienda Multifamiliar; Zona Residencial; Zonas Verdes,False,inmobiliaria,BOLSA INMOBILIARIA DEL TOLIMA SAS,30,https://cdn2.infocasas.com.uy/repo/img/6a0878c8c3a52_infocdn__gr626683520260126030646jpg.jpg,2026-01-26,2026-06-27,8,2026-07-03T17:37:12.373844+00:00
8009335,Apartamento en venta en El carmen de viboral,"Apartamento con 80 mts2, estrato 3, segundo piso, cocina integral, sala comedor, 3 alcobas, principal con baño, baño social, patio de ropas, balcón y red de gas.

Cerca del Hospital San Juan.",TR 20 18 38 INT 202,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-carmen-de-viboral/8009335,tolima,Tolima,El carmen de viboral,El carmen de viboral,,,4.2126001,-74.9811034,280000000,0,3,2,80,0,3,0,0,0,,0,Acceso Pavimentado; Baño Independiente; Cocina Integral; Colegios / Universidades; En zona residencial; Finca cafetera; Instalación de gas; Parques cercanos; Supermercados / C.Comerciales; Trans. Público cercano; Zona Residencial; Área Urbana,False,inmobiliaria,Rescom Propiedades SAS,17,https://cdn2.infocasas.com.uy/repo/img/6a17202270c24_infocdn__foto-32376-900580879-2844891642-ssjpeg.jpeg,2023-04-11,2026-06-13,8,2026-07-03T17:37:12.373864+00:00
193385562,"Apartamento en Venta en San antonio ambala, Ibagué","Se vende apto en el Conjunto Residencial Calatay piso 7 consta parqueadero, sala comedor, cocina integral, tres (3) alcobas con closet, dos baños, balcon. 74 mtrs","Calatay Conjunto Residencial, Calle 41, Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/apartamento-en-venta-en-san-antonio-ambala-ibague/193385562,tolima,Tolima,Ibagué,San antonio ambala,,Piedrapintada,4.4481926,-75.21021,320000000,0,3,2,74,74,3,7,0,3,,1,,False,inmobiliaria,Diego Bonilla Inmobiliaria,8,https://cdn2.infocasas.com.uy/repo/img/698cf365c53db_infocdn__yxlg3tx77deevsw41prrubfffekw5oo67yu7blspjpg.jpg,2026-02-11,2026-06-13,8,2026-07-03T17:37:12.373882+00:00
193763435,"Apartamento en Venta en Picaleña y Mirolindo, Ibagué","Apartamento de 77 m² habitables en Bosque San Ángel, Ibagué, ubicado en piso 2 con 3 habitaciones, 2 baños completos, cocina integral, balcón privado y parqueadero cubierto. Diseño moderno con acabados de calidad, luz natural abundante y seguridad 24/7 en complejo residencial de alto estándar.
Propiedad lista para vivir con amplios espacios, parqueadero protegido y acceso a áreas verdes y zonas comunales. Ubicación estratégica en barrio San Ángel con proximidad a servicios, educación e infraestructura. Disponible financiamiento flexible a través de opciones de crédito hipotecario.","Bosque San Ángel Conjunto Residencial, Carrera 6sur, Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/apartamento-en-venta-en-picaleña-y-mirolindo-ibague/193763435,tolima,Tolima,Ibagué,Picaleña y Mirolindo,,,4.4285867,-75.1923247,360000000,330000,3,2,77,77,3,2,2,2,,1,Ascensor; Balcón; Canchas Deportivas; Cocina Integral; Cocina tipo Americano; Colegios / Universidades; En conjunto cerrado; Gimnasio; Instalación de gas; Jardín; Loft; Parqueadero Visitantes; Parques cercanos; Patio; Piscina; Piso en Baldosa /  Mármol; Portería / Recepción; Salón Comunal; Salón de Juegos; Sobre vía principal; Supermercados / C.Comerciales; Trans. Público cercano; Vigilancia; Zona Campestre; Zona Infantil; Zona Residencial; Zonas Verdes,False,inmobiliaria,AAA Constructores SAS Inmobiliaria,19,https://cdn2.infocasas.com.uy/repo/img/6a0bbe7651034_infocdn__ufoqnq2viiuvwhpaw53ged4dzfthg4mfeykakexajpg.jpg,2026-05-18,2026-06-13,8,2026-07-03T17:37:12.373903+00:00
193824426,"Apartamento en Venta en Cd. simon bolivar et. i, Ibagué","Se vende apartamento conjunto residencial florida reservada

  Piso: 3
  Área: 93 mts²

Características del inmueble
- 3 habitaciones con closets, principal con baño 
- baño de las habitaciones 
- baño social
- Sala comedor con Balcón 
- Cocina integral con barra
- Zona de Lavado independiente
- parqueadero propio descubierto
- deposito

zonas comunes 
- piscinas
- zona bbq
- salon social
- cancha sintética 
- parque infantil 

Valor venta $450 millones","Florida Reservada Conjunto Residencial, Calle 88, Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/apartamento-en-venta-en-cd-simon-bolivar-et-i-ibague/193824426,tolima,Tolima,Ibagué,Cd. simon bolivar et. i,,Bolivar,4.431506,-75.1812773,450000000,0,3,3,93,93,4,3,0,2,,1,Ascensor; Baño Auxiliar; Calentador; Canchas Deportivas; Circuito cerrado de TV; Citófono; Colegios / Universidades; Depósito / Bodega; Gimnasio; Instalación de gas; Jardín; Parqueadero Visitantes; Parques cercanos; Piscina; Piso en Baldosa /  Mármol; Portería / Recepción; Salón Comunal; Sauna / Turco / Jacuzzi; Supermercados / C.Comerciales; Trans. Público cercano; Vigilancia; Vista panorámica; Zona Infantil; Zona Residencial; Zonas Verdes,False,inmobiliaria,TERRANOVA INMOBILIARIA,26,https://cdn2.infocasas.com.uy/repo/img/6a1da766ba643_infocdn__p1woqrkbn0lr1wmpi9wqvbpukw8cyijxqqz8ruzhjpg.jpg,2026-06-01,2026-06-13,8,2026-07-03T17:37:12.373924+00:00
193799674,"Apartamento en Venta en Piedra pintada, Ibagué","partamento en venta Piedra Pintada Alta

? Ubicación: Piso 4 (sin ascensor, escaleras amplias y descansadas)
? Área: 128 m².

Características del apartamento
- 4 habitaciones con clóset (incluye habitación de servicio)
- Habitación principal con baño y balcón
- 4 baños en total
- Estudio y hall amplio
- Cocina integral
- Sala comedor amplia e iluminada
- Zona de lavado y patio de ropas
- Parqueadero cubierto y depósito

Entorno y sector
- Vigilancia 24 horas
- Ubicado en una manzana comercial (Bancos, Ara, D1, lavandería, panadería)
- A una cuadra de la Cra. 5 con Calle 44, Centro Médico Javeriano y Nueva EPS
- Junto a prestigioso jardín infantil, iglesia y parque biosaludable","Edificio Terramare, Carrera 4b, Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/apartamento-en-venta-en-piedra-pintada-ibague/193799674,tolima,Tolima,Ibagué,Piedra pintada,,Piedrapintada,4.4334252,-75.2090711,400000000,0,4,4,128,128,4,4,0,5,,1,Balcón; Colegios / Universidades; Cuarto de servicio; Depósito / Bodega; Estudio; Instalación de gas; Parques cercanos; Supermercados / C.Comerciales; Trans. Público cercano; Zona Residencial,False,inmobiliaria,TERRANOVA INMOBILIARIA,12,https://cdn2.infocasas.com.uy/repo/img/6a15cdd0173b9_infocdn__rorfqgrbnyghdqbgfqoterp87aicrqcwjekwdteqjpg.jpg,2026-05-26,2026-06-13,8,2026-07-03T17:37:12.373947+00:00
191345068,"Apartamento en  Venta en Picaleña y Mirolindo, Ibagué","Ibagué, se vende Apartamento en el conjunto Santa Fe de Varsovia, ubicado en el piso 12, con un área de 90 m2, el apartamento consta de sala comedor con balcón, cocina integral con barra, zona de ropas, estudio, 3 habitaciones, 2 baños. Cuenta con parqueadero. El conjunto cuenta con portería, parques infantiles, piscina de adultos y niños, club house. Muy cerca de los principales centros comerciales, clínicas y vías principales de la ciudad.  ***",CARRERA 6 SUR   66- 40,https://www.fincaraiz.com.co/apartamento-en-venta-en-picaleña-y-mirolindo-ibague/191345068,tolima,Tolima,Ibagué,Picaleña y Mirolindo,,,4.4298748178725,-75.197139735413,410000000,350000,3,2,90,,4,0,0,1,,1,Balcón; Baño Auxiliar; Bombas de gasolina; Cerca a sector comercial; Cerca centro comercial; Colegios / Universidades; Cómodas vias de acceso; Estudio; Garaje / Parqueadero(s); Garaje Cubierto; Loft; Parques cercanos; Restaurantes; Sobre vía principal; Supermercados / C.Comerciales; Ventilación Natural; Vigilancia 24x7,False,inmobiliaria,DH DOMINGUEZ HERRAN GRUPO INMOBILIARIO,21,https://cdn2.infocasas.com.uy/repo/img/66dc10821df59_infocdn__952435fb-052d-4d52-910a-6811c17a4aba.jpg,2024-09-07,2026-06-16,8,2026-07-03T17:37:12.373969+00:00
193622414,"Apartamento en Venta en Hacienda Santa Cruz, Ibagué","Se vende apartamento para estrenar en el conjunto residencial Terra Santa Cruz, ubicado en una excelente zona sobre la vía al aeropuerto, cerca de la clínica Medicadiz y el sector de La Samaria.

El apartamento se encuentra en primer piso y cuenta con una cómoda y funcional distribución. Dispone de 3 alcobas, cada una con closet, 2 baños, sala comedor, cocina integral, hall, y patio de ropas, con espacios bien iluminados y ventilación natural que brindan confort y comodidad para toda la familia.

El conjunto residencial ofrece vigilancia 24/7 y excelentes zonas comunes, entre ellas piscina, parque infantil, gimnasio, salón de eventos y parqueadero para visitantes, además de parqueadero comunal para residentes.

Su ubicación estratégica permite fácil acceso a transporte, servicios de salud, comercio y a la vía principal hacia el aeropuerto, convirtiéndolo en una gran oportunidad para vivir o invertir.","Terra - Hacienda Santa Cruz, Calle 99, Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/apartamento-en-venta-en-hacienda-santa-cruz-ibague/193622414,tolima,Tolima,Ibagué,Hacienda Santa Cruz,,,4.4216524,-75.1715956,230000000,0,3,2,55,55,3,0,0,1,,1,,False,inmobiliaria,ANDAR INMOBILIARIA,15,https://cdn2.infocasas.com.uy/repo/img/69dd1de9de7fc_infocdn__g1lgqsgtms8ce2yovzkynibeoedu00kyxrjyi4mljpg.jpg,2026-04-13,2026-06-22,8,2026-07-03T17:37:12.374016+00:00
